event_date,fight_key,f1_name,f2_name,target,market_prob_f1,model_prob_f1,edge,price_f1,model_name,f1_ufc_fights_before,f2_ufc_fights_before
2025-11-15,2025-11-15|michael morales|sean brady,Michael Morales,Sean Brady,1,0.43859649122807015,0.7151726,0.2765760975971557,128,xgboost_model,0,0
2025-11-15,2025-11-15|michael morales|sean brady,Sean Brady,Michael Morales,0,0.6031746031746031,0.3249498,-0.278224802206433,-152,xgboost_model,0,0
2025-11-15,2025-11-15|carlos prates|leon edwards,Carlos Prates,Leon Edwards,1,0.6062992125984252,0.6341266,0.027827391004937807,-154,xgboost_model,0,0
2025-11-15,2025-11-15|carlos prates|leon edwards,Leon Edwards,Carlos Prates,0,0.43478260869565216,0.45818228,0.023399666599605407,130,xgboost_model,0,0
2025-11-15,2025-11-15|beneil dariush|benoit saint denis,Benoit Saint Denis,Beneil Dariush,1,0.6551724137931034,0.53907883,-0.11609358212043497,-190,xgboost_model,0,0
2025-11-15,2025-11-15|beneil dariush|benoit saint denis,Beneil Dariush,Benoit Saint Denis,0,0.38461538461538464,0.5745742,0.18995878788141102,160,xgboost_model,0,0
2025-11-15,2025-11-15|bo nickal|rodolfo vieira,Bo Nickal,Rodolfo Vieira,1,0.7101449275362319,0.8230865,0.11294157263161475,-245,xgboost_model,0,0
2025-11-15,2025-11-15|bo nickal|rodolfo vieira,Rodolfo Vieira,Bo Nickal,0,0.3333333333333333,0.2685553,-0.06477801998456317,200,xgboost_model,0,0
2025-11-15,2025-11-15|gregory rodrigues|roman kopylov,Gregory Rodrigues,Roman Kopylov,1,0.6621621621621622,0.54618347,-0.11597869525084625,-196,xgboost_model,0,0
2025-11-15,2025-11-15|gregory rodrigues|roman kopylov,Roman Kopylov,Gregory Rodrigues,0,0.3787878787878788,0.4000841,0.02129622932636377,164,xgboost_model,0,0
2025-11-15,2025-11-15|erin blanchfield|tracy cortez,Erin Blanchfield,Tracy Cortez,1,0.7674418604651163,0.64876413,-0.11867772701174717,-330,xgboost_model,0,0
2025-11-15,2025-11-15|erin blanchfield|tracy cortez,Tracy Cortez,Erin Blanchfield,0,0.273972602739726,0.3570596,0.08308699522932916,265,xgboost_model,0,0
2025-11-15,2025-11-15|ethyn ewing|malcolm wellmaker,Ethyn Ewing,Malcolm Wellmaker,1,0.23255813953488372,0.65417093,0.4216127908507059,330,xgboost_model,0,0
2025-11-15,2025-11-15|ethyn ewing|malcolm wellmaker,Malcolm Wellmaker,Ethyn Ewing,0,0.8076923076923077,0.30063257,-0.5070597414786999,-420,xgboost_model,0,0
2025-11-15,2025-11-15|gerald meerschaert|kyle daukaus,Kyle Daukaus,Gerald Meerschaert,1,0.8275862068965517,0.6055956,-0.22199061821246968,-480,xgboost_model,0,0
2025-11-15,2025-11-15|gerald meerschaert|kyle daukaus,Gerald Meerschaert,Kyle Daukaus,0,0.2127659574468085,0.4067514,0.19398543682504207,370,xgboost_model,0,0
2025-11-15,2025-11-15|angela hill|fatima kline,Fatima Kline,Angela Hill,1,0.855072463768116,0.85608643,0.0010139691656914085,-590,xgboost_model,0,0
2025-11-15,2025-11-15|angela hill|fatima kline,Angela Hill,Fatima Kline,0,0.18518518518518517,0.11894765,-0.0662375376732261,440,xgboost_model,0,0
2025-11-08,2025-11-08|gabriel bonfim|randy brown,Gabriel Bonfim,Randy Brown,1,0.6212121212121212,0.5339523,-0.08725982543193933,-164,xgboost_model,0,0
2025-11-08,2025-11-08|gabriel bonfim|randy brown,Randy Brown,Gabriel Bonfim,0,0.42016806722689076,0.60834897,0.18818089841794566,138,xgboost_model,0,0
2025-11-08,2025-11-08|joseph morales|matt schnell,Joseph Morales,Matt Schnell,1,0.8305084745762712,0.7274365,-0.10307199166992964,-490,xgboost_model,0,0
2025-11-08,2025-11-08|joseph morales|matt schnell,Matt Schnell,Joseph Morales,0,0.20833333333333334,0.21055247,0.002219135562578828,380,xgboost_model,0,0
2025-11-08,2025-11-08|muslim salikhov|uros medic,Uros Medic,Muslim Salikhov,1,0.5652173913043478,0.72636336,0.16114596957745764,-130,xgboost_model,0,0
2025-11-08,2025-11-08|muslim salikhov|uros medic,Muslim Salikhov,Uros Medic,0,0.47619047619047616,0.28510776,-0.19108271456900094,110,xgboost_model,0,0
2025-11-08,2025-11-08|chris padilla|ismael bonfim,Chris Padilla,Ismael Bonfim,1,0.5412844036697247,0.52705055,-0.014233848917374892,-118,xgboost_model,0,0
2025-11-08,2025-11-08|chris padilla|ismael bonfim,Ismael Bonfim,Chris Padilla,0,0.5,0.496615,-0.003385007381439209,100,xgboost_model,0,0
2025-11-08,2025-11-08|christian leroy duncan|marco tulio,Christian Leroy Duncan,Marco Tulio,1,0.4166666666666667,0.18369016,-0.2329765061537425,140,xgboost_model,0,0
2025-11-08,2025-11-08|christian leroy duncan|marco tulio,Marco Tulio,Christian Leroy Duncan,0,0.6240601503759399,0.7399062,0.11584604144992683,-166,xgboost_model,0,0
2025-11-01,2025-11-01|david onama|steve garcia,Steve Garcia,David Onama,1,0.5798319327731093,0.72542024,0.14558830381441512,-138,xgboost_model,0,0
2025-11-01,2025-11-01|david onama|steve garcia,David Onama,Steve Garcia,0,0.45871559633027525,0.21037832,-0.24833727730523558,118,xgboost_model,0,0
2025-11-01,2025-11-01|ante delija|waldo cortes acosta,Waldo Cortes Acosta,Ante Delija,1,0.47619047619047616,0.6915889,0.21539840244111563,110,xgboost_model,0,0
2025-11-01,2025-11-01|ante delija|waldo cortes acosta,Ante Delija,Waldo Cortes Acosta,0,0.5652173913043478,0.28882322,-0.2763941741507986,-130,xgboost_model,0,0
2025-11-01,2025-11-01|jeremiah wells|themba gorimbo,Jeremiah Wells,Themba Gorimbo,1,0.43103448275862066,0.4393478,0.008313320834061222,132,xgboost_model,0,0
2025-11-01,2025-11-01|jeremiah wells|themba gorimbo,Themba Gorimbo,Jeremiah Wells,0,0.6240601503759399,0.35356718,-0.27049296735820916,-166,xgboost_model,0,0
2025-11-01,2025-11-01|isaac dulgarian|yadier del valle,Yadier del Valle,Isaac Dulgarian,1,0.44642857142857145,0.19626504,-0.25016352960041593,124,xgboost_model,0,0
2025-11-01,2025-11-01|isaac dulgarian|yadier del valle,Isaac Dulgarian,Yadier del Valle,0,0.5934959349593496,0.7640731,0.17057713890463355,-146,xgboost_model,0,0
2025-11-01,2025-11-01|charles radtke|daniel frunza,Charles Radtke,Daniel Frunza,1,0.6323529411764706,0.8596756,0.22732264504713173,-172,xgboost_model,0,0
2025-11-01,2025-11-01|charles radtke|daniel frunza,Daniel Frunza,Charles Radtke,0,0.4098360655737705,0.22691819,-0.18291787485607336,144,xgboost_model,0,0
2025-11-01,2025-11-01|allan nascimento|cody durden,Allan Nascimento,Cody Durden,1,0.7560975609756098,0.42628342,-0.3298141418433771,-310,xgboost_model,0,0
2025-11-01,2025-11-01|allan nascimento|cody durden,Cody Durden,Allan Nascimento,0,0.2857142857142857,0.5629296,0.27721528496061054,250,xgboost_model,0,0
2025-11-01,2025-11-01|billy elekana|kevin christian,Billy Elekana,Kevin Christian,1,0.7297297297297297,0.790222,0.06049225942508596,-270,xgboost_model,0,0
2025-11-01,2025-11-01|billy elekana|kevin christian,Kevin Christian,Billy Elekana,0,0.3125,0.24600975,-0.06649024784564972,220,xgboost_model,0,0
2025-11-01,2025-11-01|donte johnson|sedriques dumas,Donte Johnson,Sedriques Dumas,1,0.7777777777777778,0.6688104,-0.1089673505889045,-350,xgboost_model,0,0
2025-11-01,2025-11-01|donte johnson|sedriques dumas,Sedriques Dumas,Donte Johnson,0,0.2631578947368421,0.34356263,0.08040473806230647,280,xgboost_model,0,0
2025-11-01,2025-11-01|ketlen vieira|norma dumont,Norma Dumont,Ketlen Vieira,1,0.635036496350365,0.71605533,0.0810188372639844,-174,xgboost_model,0,0
2025-11-01,2025-11-01|ketlen vieira|norma dumont,Ketlen Vieira,Norma Dumont,0,0.4065040650406504,0.29027906,-0.11622500443846229,146,xgboost_model,0,0
2025-11-01,2025-11-01|phil rowe|seokhyeon ko,Seokhyeon Ko,Phil Rowe,1,0.6428571428571429,0.874707,0.23184984070914127,-180,xgboost_model,0,0
2025-11-01,2025-11-01|phil rowe|seokhyeon ko,Phil Rowe,Seokhyeon Ko,0,0.3968253968253968,0.11924843,-0.2775769693747399,152,xgboost_model,0,0
2025-11-01,2025-11-01|ariane carnelossi|talita alencar,Talita Alencar,Ariane Carnelossi,1,0.6923076923076923,0.64231825,-0.049989443558912994,-225,xgboost_model,0,0
2025-11-01,2025-11-01|ariane carnelossi|talita alencar,Ariane Carnelossi,Talita Alencar,0,0.3472222222222222,0.26447627,-0.08274595273865593,188,xgboost_model,0,0
2025-10-25,2025-10-25|mackenzie dern|virna jandiroba,Mackenzie Dern,Virna Jandiroba,1,0.5726495726495726,0.5153202,-0.05732939080295396,-134,xgboost_model,0,0
2025-10-25,2025-10-25|mackenzie dern|virna jandiroba,Virna Jandiroba,Mackenzie Dern,0,0.4672897196261682,0.5362871,0.06899740929915527,114,xgboost_model,0,0
2025-10-25,2025-10-25|mario bautista|umar nurmagomedov,Umar Nurmagomedov,Mario Bautista,1,0.8611111111111112,0.8937202,0.0326090984874301,-620,xgboost_model,0,0
2025-10-25,2025-10-25|mario bautista|umar nurmagomedov,Mario Bautista,Umar Nurmagomedov,0,0.17857142857142858,0.105877794,-0.07269363424607686,460,xgboost_model,0,0
2025-10-25,2025-10-25|alexander volkov|jailton almeida,Alexander Volkov,Jailton Almeida,1,0.37593984962406013,0.17445469,-0.20148516059818122,166,xgboost_model,0,0
2025-10-25,2025-10-25|alexander volkov|jailton almeida,Jailton Almeida,Alexander Volkov,0,0.6644295302013423,0.5722782,-0.09215132862129471,-198,xgboost_model,0,0
2025-10-25,2025-10-25|aleksandar rakic|azamat murzakanov,Azamat Murzakanov,Aleksandar Rakic,1,0.5,0.51583964,0.01583963632583618,100,xgboost_model,0,0
2025-10-25,2025-10-25|aleksandar rakic|azamat murzakanov,Aleksandar Rakic,Azamat Murzakanov,0,0.5412844036697247,0.26172355,-0.2795608554958203,-118,xgboost_model,0,0
