feature,importance
f2_wins_last_3_years,2.0
f1_striking_accuracy,2.0
early_finish_rate_last_3_diff,2.0
f2_win_rate_last_3_years,2.0
losses_last_3_years_diff,2.0
finish_losses_since_last_win_diff,2.0
f1_decision_losses_since_last_win,2.0
f1_finish_rate_last_3_years,2.0
f1_sig_strikes_landed_per_min_lifetime,2.0
f2_early_finish_advantage,2.0
f2_early_finish_rate_last_3,2.0
f2_finish_rate,2.0
f2_finish_rate_last_3_years,2.0
f2_first_round_finish_rate,2.0
f2_first_round_ko_rate,2.0
f1_first_round_finish_rate,2.0
f1_ko_rate_last_5,2.0
youth_form_score_diff,2.0
f1_youth_form_score,2.0
f2_stance_orthodox,2.0
f2_sig_strikes_landed_per_min_lifetime,1.0
f1_ko_rate_last_3,1.0
age_x_fights_since_last_win_diff,1.0
win_rate_last_3_years_diff,1.0
f2_draws,1.0
f2_age_in_prime,1.0
decision_losses_since_last_win_diff,1.0
f2_finish_losses_since_last_win,1.0
f2_age_past_prime,1.0
early_finish_rate_last_5_diff,1.0
f2_win_rate_last_5,1.0
f1_age,1.0
f1_age_past_prime,1.0
f2_age_x_recent_vs_career_decline,1.0
f1_knockdowns_last_3,1.0
f1_losses_last_3_years,1.0
f2_decision_rate,1.0
f2_decision_losses_since_last_win,1.0
f2_age_x_years_since_last_fight,1.0
f2_stance_southpaw,1.0
f1_age_x_recent_vs_career_decline,1.0
f1_win_rate_last_5,1.0
f2_losses_last_3_years,1.0
f1_finish_losses_since_last_win,1.0
orthodox_vs_southpaw,1.0
f2_current_loss_streak,1.0
f1_fights_since_last_win,1.0
f2_recent_knockdown_diff_last_3,1.0
f2_recent_losses_last_2,1.0
f1_wins_last_3_years,1.0
