feature,importance
f2_reach_inches,8.0
f2_time_decayed_win_rate_adj_opp_quality,7.0
f2_sig_strikes_landed_per_min_lifetime,7.0
f1_avg_lost_to_opponent_win_rate,7.0
recent_vs_career_win_rate_diff,7.0
height_advantage,7.0
experience_difference,7.0
f2_ko_rate,6.0
time_decayed_finish_rate_diff,6.0
f2_striking_defense,6.0
f1_round_3_win_rate,6.0
striking_differential,6.0
f1_losses_last_3_years,6.0
f2_win_rate_last_3_years,6.0
f2_decision_rate,6.0
f2_submission_rate,6.0
f1_striking_defense,6.0
recent_knockdown_diff_last_3_diff,6.0
f1_prospect_momentum_score,6.0
f2_avg_lost_to_opponent_win_rate,6.0
f2_performance_trend,6.0
f2_age_x_fights_in_last_year,6.0
f1_round_3_fight_rate,5.0
f1_time_decayed_win_rate,5.0
f1_recent_vs_career_win_rate,5.0
f1_body_strike_rate_last_3,5.0
f1_round_3_performance_score,5.0
win_streak_diff,5.0
f2_age_x_fights_since_last_win,5.0
f2_wins,5.0
f2_time_decayed_finish_rate,5.0
f1_finish_rate,5.0
f1_reach_inches,5.0
f1_opponent_quality_score,5.0
f2_total_fights,5.0
round_3_performance_diff,5.0
f1_recent_control_time_diff_last_3,5.0
f1_decision_rate,5.0
f1_recent_knockdown_diff_last_3,5.0
f1_ko_rate,5.0
f1_age_x_fights_since_last_win,4.0
f2_round_3_finish_rate,4.0
wins_last_3_years_diff,4.0
f1_leg_strike_rate_lifetime,4.0
f1_recent_control_time_sec_last_3,4.0
f1_avg_beaten_opponent_win_rate,4.0
age_x_fights_since_last_win_diff,4.0
f2_sig_strikes_landed_per_min,4.0
finish_losses_since_last_win_diff,4.0
f1_avg_beaten_opponent_total_fights,4.0
f2_time_decayed_ko_rate,4.0
recent_finish_loss_last_fight_diff,4.0
age_x_years_since_last_fight_diff,4.0
f1_ko_rate_last_5,4.0
f2_prospect_momentum_score,4.0
f1_time_decayed_ko_rate,4.0
f1_finish_rate_last_3,4.0
f2_leg_strike_rate_lifetime,4.0
f1_distance_strike_rate_lifetime,4.0
f1_early_finish_advantage,4.0
f1_youth_form_score,3.0
f2_current_loss_streak,3.0
losses_last_3_years_diff,3.0
early_finish_rate_last_5_diff,3.0
f2_age,3.0
f1_performance_trend,3.0
f1_wins,3.0
f2_finish_rate,3.0
early_finish_advantage_diff,3.0
age_x_recent_vs_career_decline_diff,3.0
f1_total_fights,3.0
f1_time_decayed_finish_rate,3.0
f1_avg_fight_duration_rounds,3.0
finish_rate_last_3_years_diff,3.0
f2_recent_knockdown_diff_last_3,3.0
f2_ko_rate_last_5,3.0
f1_age_x_years_since_last_fight,3.0
f1_height_cm,3.0
f1_age_x_recent_vs_career_decline,3.0
f2_avg_fight_duration_rounds,2.0
f2_finish_rate_last_5,2.0
f2_height_cm,2.0
